0	12	18	37	16	18	23	32	21	25	30	37	27	32	33
12	0	10	26	20	15	19	26	25	24	27	32	30	33	32
18	10	0	19	18	9	10	16	22	17	18	22	25	26	25
37	26	19	0	35	25	22	17	37	28	25	21	39	36	33
16	20	18	35	0	10	15	24	5	13	18	27	11	17	18
18	15	9	25	10	0	6	15	13	9	12	19	16	18	17
23	19	10	22	15	6	0	10	16	7	8	14	17	17	15
32	26	16	17	24	15	10	0	24	13	9	6	24	20	16
21	25	22	37	5	13	16	24	0	11	16	25	6	12	15
25	24	17	28	13	9	7	13	11	0	5	14	11	9	8
30	27	18	25	18	12	8	9	16	5	0	9	15	11	8
37	32	22	21	27	19	14	6	25	14	9	0	24	18	14
27	30	25	39	11	16	17	24	6	11	15	24	0	8	11
32	33	26	36	17	18	17	20	12	9	11	18	8	0	4
33	32	25	33	18	17	15	16	15	8	8	14	11	4	0
